City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
678,saint anthony,US,45.0205,-93.218,-3.8,73,100,3.0,overcast clouds,2022-01-06 23:59:54
679,broken hill,AU,-31.95,141.4333,69.51,56,75,19.57,broken clouds,2022-01-06 23:59:55
680,juneau,US,58.3019,-134.4197,5.99,88,4,8.61,clear sky,2022-01-06 23:58:32
681,cabedelo,BR,-6.9811,-34.8339,81.27,75,12,11.14,few clouds,2022-01-06 23:59:55
682,azanka,RU,58.0401,64.7893,10.51,94,100,9.46,overcast clouds,2022-01-06 23:59:55
683,kazerun,IR,29.6195,51.6541,47.26,41,0,4.14,clear sky,2022-01-06 23:59:55
684,ussel,FR,45.55,2.3167,17.73,85,96,1.12,overcast clouds,2022-01-06 23:59:56
685,lavagna,IT,44.3079,9.3422,48.09,50,3,5.01,clear sky,2022-01-06 23:59:56
686,kondinskoye,RU,59.6481,67.41,2.08,95,100,11.83,overcast clouds,2022-01-06 23:59:56
687,boyolangu,ID,-8.1181,111.8935,78.48,82,65,2.59,broken clouds,2022-01-06 23:59:56
688,ushtobe,KZ,45.2514,77.9838,32.63,89,100,2.98,overcast clouds,2022-01-06 23:53:31
689,dingle,PH,10.9995,122.6711,75.07,89,33,8.03,scattered clouds,2022-01-06 23:51:14
690,karakol,KG,42.4907,78.3936,21.45,62,82,6.98,broken clouds,2022-01-06 23:59:57
691,akureyri,IS,65.6835,-18.0878,26.89,76,20,10.6,light snow,2022-01-07 00:00:47
692,wawa,NG,9.9022,4.4192,79.9,33,7,5.14,clear sky,2022-01-07 00:00:57
693,maldonado,UY,-34.6667,-54.9167,67.39,75,0,7.67,clear sky,2022-01-06 23:55:51
694,ardalstangen,NO,61.2371,7.6983,19.44,86,94,6.33,overcast clouds,2022-01-07 00:00:57
